From,To,Time,TrainType
Paris,Lyon,2,HighSpeed
Paris,Brussels,1.5,HighSpeed
Paris,Geneva,3,Regular
Lyon,Marseille,2,HighSpeed
Lyon,Geneva,1.5,HighSpeed
Brussels,Amsterdam,1,HighSpeed
Brussels,Frankfurt,3,HighSpeed
Frankfurt,Berlin,2.5,HighSpeed
Frankfurt,Zurich,2,Regular
Zurich,Milan,3,HighSpeed
Geneva,Milan,4,Regular
Milan,Venice,2,HighSpeed
Venice,Vienna,3,HighSpeed
Berlin,Copenhagen,4,HighSpeed
Copenhagen,Stockholm,5,HighSpeed
Stockholm,Helsinki,4,HighSpeed
Munich,Vienna,2,Regular
Munich,Zurich,2,Regular
